Classifier#,nIter,label #1,label #2
1,12,-1,1
2,12,-2,2
3,12,-3,3
dimension, threshold, left label, right label, weights
13,2.822264e-03,2,1,2.447390e+00
2,5.832844e-01,1,2,1.340910e+00
1,8.426440e-01,1,2,1.137707e+00
13,6.408607e-01,1,2,9.855270e-01
1,5.607129e-01,1,2,8.124699e-01
16,2.655109e-01,2,1,8.375630e-01
2,8.622441e-01,1,2,7.269570e-01
14,4.496657e-01,2,1,7.268697e-01
4,1.415925e-01,2,1,6.879809e-01
5,6.470932e-01,2,1,7.094525e-01
10,8.763926e-01,1,2,5.647797e-01
1,4.719761e-01,1,2,8.281879e-01
1,8.342232e-04,2,1,5.187386e+00
1,9.076696e-01,1,2,3.062222e+00
13,9.904422e-01,1,2,2.323673e+00
8,2.936890e-02,2,1,2.702925e+00
18,1.426602e-01,2,1,2.779308e+00
4,2.609927e-01,2,1,2.435344e+00
7,9.783461e-01,1,2,2.469295e+00
6,7.393236e-02,2,1,2.380112e+00
9,2.661682e-01,2,1,2.126143e+00
9,2.631383e-01,1,2,1.694674e+00
13,9.904422e-01,1,2,2.245906e+00
10,1.302557e-01,2,1,2.105046e+00
13,2.822264e-03,1,2,2.397895e+00
2,5.832844e-01,2,1,1.282225e+00
1,8.426440e-01,2,1,1.200238e+00
13,5.768077e-01,2,1,1.033705e+00
14,4.496657e-01,1,2,7.983114e-01
4,1.415925e-01,1,2,8.132433e-01
1,5.251844e-01,2,1,1.015122e+00
10,8.763926e-01,2,1,8.219163e-01
2,7.360718e-01,2,1,7.094152e-01
16,2.655109e-01,1,2,7.865887e-01
5,6.470932e-01,1,2,7.731299e-01
13,5.171381e-01,2,1,5.438286e-01
