Classifier#,nIter,label #1,label #2
1,12,-1,1
2,12,-2,2
dimension, threshold, left label, right label, weights
2,1.564321e-03,2,1,1.964259e+00
3,3.417139e-05,2,1,7.058365e-01
6,5.640339e-03,1,2,4.423961e-01
10,2.686688e-05,2,1,5.367044e-01
6,7.514413e-03,1,2,4.131622e-01
7,7.648636e-06,2,1,4.624760e-01
1,4.656555e-03,1,2,4.340255e-01
8,8.912808e-06,2,1,3.482584e-01
4,1.546689e-03,1,2,3.159206e-01
2,1.336796e-02,2,1,4.297481e-01
6,8.900654e-03,1,2,4.264130e-01
9,1.413921e-05,2,1,3.840204e-01
2,1.564321e-03,1,2,1.964259e+00
3,3.417139e-05,1,2,7.058365e-01
6,5.640339e-03,2,1,4.423961e-01
10,2.686688e-05,1,2,5.367044e-01
6,7.514413e-03,2,1,4.131622e-01
7,7.648636e-06,1,2,4.624760e-01
1,4.656555e-03,2,1,4.340255e-01
8,8.912808e-06,1,2,3.482584e-01
4,1.546689e-03,2,1,3.159206e-01
2,1.336796e-02,1,2,4.297481e-01
6,8.900654e-03,2,1,4.264130e-01
9,1.413921e-05,1,2,3.840204e-01
